title,popularity,favorites,studios
Cowboy Bebop,0.0013362731342286,0.3562386044252649,1635
Cowboy Bebop: Tengoku no Tobira,0.0219482862297053,0.0070941184900913,234
Trigun,0.008819402685909,0.0701051776714411,856
Witch Hunter Robin,0.0664127747711632,0.0028145576725558,1635
Bouken Ou Beet,0.1967662190151667,7.165776252617498e-05,1751
Eyeshield 21,0.0473708826084051,0.0084556159780886,517
Hachimitsu to Clover,0.0328389122736687,0.0167480114970898,688
Hungry Heart: Wild Striker,0.1634930179728736,0.0009673797941033,981
Initial D Fourth Stage,0.0433954700340749,0.0057087350812519,27
Monster,0.003875192089263,0.2462598628948143,856
Naruto,0.0002672546268457,0.3435472184845179,1574
One Piece,0.0005345092536914,1.0,1751
Tennis no Oujisama,0.0469700006681365,0.0122335724579408,1796
Ring ni Kakero 1,0.3039019175519476,1.1942960421029164e-05,1751
School Rumble,0.0267922763412841,0.0215212146786945,1458
Sunabouzu,0.0586289837642814,0.0035032683901685,541
Texhnolyze,0.0324046235050444,0.0226518149318853,856
Trinity Blood,0.0465023050711565,0.0056490202791467,541
Yakitate!! Japan,0.077136366673348,0.0037819374666592,1635
Zipang,0.1676688715173381,0.000824064269051,1467
Shinseiki Evangelion,0.0014699004476515,0.4679450942299576,512
Shinseiki Evangelion Movie: Shi to Shinsei,0.0334068283557159,0.0032285803004848,510
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",0.0059464154473174,0.1289202767582028,509
Kenpuu Denki Berserk,0.0101222689917819,0.1257116013917529,1010
Koukaku Kidoutai,0.0112581011558762,0.0570355979840282,1166
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,0.0318367074229972,0.0257052318128617,1467
Rurouni Kenshin: Meiji Kenkaku Romantan,0.0161689049241664,0.0414221677269361,522
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,0.1132157412975212,0.0003861557202799,517
Akira,0.0069152134696331,0.0594321520418481,1780
.hack//Sign,0.0476381372352508,0.0059635182369005,211
Aa! Megami-sama!,0.1098416516335939,0.0010549615038575,36
Aa! Megami-sama! (TV),0.054085655107904,0.0046696975246224,36
Tenshi Kinryouku,0.1165564241330928,0.0007444445329108,589
